mois_mutation;code_departement;nom_commune;valeur_fonciere;croissance
01/01/2017;77;77Dormelles;726000;0
01/01/2017;77;77Doue;200000;0
01/01/2017;77;77Esbly;2694000;0
01/01/2017;77;77Faremoutiers;1569000;0
01/01/2017;77;77FaviÃ¨res;292000;0
01/01/2017;77;77FaÃ¿-lÃ¨s-Nemours;59500;0
01/01/2017;77;77FerriÃ¨res-en-Brie;606460;0
01/01/2017;77;77Flagy;188000;0
01/01/2017;77;77Fleury-en-BiÃ¨re;625000;0
01/01/2017;77;77Fontaine-le-Port;604000;0
01/01/2017;77;77Fontainebleau;3948182;0
01/01/2017;77;77Fontenailles;210000;0
01/01/2017;77;77Fontenay-TrÃ©signy;1401801;0
01/01/2017;77;77Fresnes-sur-Marne;285000;0
01/01/2017;77;77Fublaines;792920;0
01/01/2017;77;77FÃ©ricy;230000;0
01/01/2017;77;77Germigny-l'Ã‰vÃªque;542000;0
01/01/2017;77;77Gouaix;640000;0
01/01/2017;77;77Gouvernes;1720000;0
01/01/2017;77;77Grandpuits-Bailly-Carrois;219000;0
01/01/2017;77;77Gretz-Armainvilliers;1623000;0
01/01/2017;77;77Grez-sur-Loing;240000;0
01/01/2017;77;77Grisy-Suisnes;634500;0
01/01/2017;77;77Guermantes;349120;0
01/01/2017;77;77Guignes;365240;0
01/01/2017;77;77Gurcy-le-ChÃ¢tel;359000;0
01/01/2017;77;77GuÃ©rard;255940;0
01/01/2017;77;77Hautefeuille;644000;0
01/01/2017;77;77Hondevilliers;1000000;0
01/01/2017;77;77HÃ©ricy;1007500;0
01/01/2017;77;77Isles-les-Meldeuses;239000;0
01/01/2017;77;77Iverny;1169700;0
01/01/2017;77;77Jablines;300000;0
01/01/2017;77;77Jouarre;406000;0
01/01/2017;77;77Jouy-le-ChÃ¢tel;826000;0
01/01/2017;77;77Juilly;235000;0
01/01/2017;77;77Jutigny;115000;0
01/01/2017;77;77La Celle-sur-Morin;258000;0
01/01/2017;77;77La Chapelle-Gauthier;355000;0
01/01/2017;77;77La Chapelle-Moutils;120000;0
01/01/2017;77;77La Chapelle-Saint-Sulpice;245000;0
01/01/2017;77;77La Chapelle-la-Reine;994000;0
01/01/2017;77;77La FertÃ©-Gaucher;1209000;0
01/01/2017;77;77La FertÃ©-sous-Jouarre;3853500;0
01/01/2017;77;77La Genevraye;704000;0
01/01/2017;77;77La Grande-Paroisse;681150;0
01/01/2017;77;77La Houssaye-en-Brie;205000;0
01/01/2017;77;77La Rochette;1629450;0
01/01/2017;77;77Lagny-sur-Marne;11571110;0
01/01/2017;77;77Larchant;57000;0
01/01/2017;77;77Laval-en-Brie;600000;0
01/01/2017;77;77Le ChÃ¢telet-en-Brie;1149999;0
01/01/2017;77;77Le MÃ©e-sur-Seine;2747334.44;0
01/01/2017;77;77Le Pin;1680146.44;0
01/01/2017;77;77Le Plessis-Feu-Aussoux;959100;0
01/01/2017;77;77Le Plessis-aux-Bois;210000;0
01/01/2017;77;77Le VaudouÃ©;530000;0
01/01/2017;77;77Les MarÃªts;356000;0
01/01/2017;77;77Lescherolles;99000;0
01/01/2017;77;77Lieusaint;4381220;0
01/01/2017;77;77Livry-sur-Seine;660000;0
01/01/2017;77;77Lognes;2036250;0
01/01/2017;77;77Longperrier;355000;0
01/01/2017;77;77Lorrez-le-Bocage-PrÃ©aux;765000;0
01/01/2017;77;77Louan-Villegruis-Fontaine;31000;0
01/01/2017;77;77Luzancy;400000;0
01/01/2017;77;77LÃ©signy;1578000;0
01/01/2017;77;77Magny-le-Hongre;5055377;0
01/01/2017;77;77Maincy;275000;0
01/01/2017;77;77Maisoncelles-en-Brie;245000;0
01/01/2017;77;77MarchÃ©moret;309500;0
01/01/2017;77;77Mareuil-lÃ¨s-Meaux;447000;0
01/01/2017;77;77Marles-en-Brie;708000;0
01/01/2017;77;77Mary-sur-Marne;78000;0
01/01/2017;77;77Mauperthuis;210000;0
01/01/2017;77;77Meaux;9639480;0
01/01/2017;77;77Melun;5862034.5;0
01/01/2017;77;77Messy;364000;0
01/01/2017;77;77Misy-sur-Yonne;75000;0
01/01/2017;77;77Mitry-Mory;4128450;0
01/01/2017;77;77Moisenay;1235840;0
01/01/2017;77;77Moissy-Cramayel;4168941;0
01/01/2017;77;77Mondreville;140000;0
01/01/2017;77;77Montceaux-lÃ¨s-Provins;240000;0
01/01/2017;77;77Montcourt-Fromonville;45000;0
01/01/2017;77;77Montenils;200000;0
01/01/2017;77;77Montereau-Fault-Yonne;1557000;0
01/01/2017;77;77MontgÃ©-en-GoÃ«le;1423800;0
01/01/2017;77;77Monthyon;482000;0
01/01/2017;77;77Montigny-Lencoup;302000;0
01/01/2017;77;77Montigny-sur-Loing;201600;0
01/01/2017;77;77Montolivet;339800;0
01/01/2017;77;77Montry;1392000;0
01/01/2017;77;77MontÃ©vrain;7144531.4;0
01/01/2017;77;77Moret-Loing-et-Orvanne;3220000;0
01/01/2017;77;77Mormant;425820;0
01/01/2017;77;77Mortcerf;337934.4;0
01/01/2017;77;77Mouroux;2205800;0
01/01/2017;77;77Moussy-le-Neuf;703000;0
01/01/2017;77;77Moussy-le-Vieux;541000;0
01/01/2017;77;77Nandy;1385800;0
01/01/2017;77;77Nangis;1170980;0
01/01/2017;77;77Nanteau-sur-Essonne;180000;0
01/01/2017;77;77Nanteuil-lÃ¨s-Meaux;1644000;0
01/01/2017;77;77Nanteuil-sur-Marne;566000;0
01/01/2017;77;77Nemours;1273973;0
01/01/2017;77;77Neufmoutiers-en-Brie;644000;0
01/01/2017;77;77Noisiel;2123381;0
01/01/2017;77;77Noisy-Rudignon;336000;0
01/01/2017;77;77Noisy-sur-Ã‰cole;1047900;0
01/01/2017;77;77Nonville;734000;0
01/01/2017;77;77Oissery;1289000;0
01/01/2017;77;77Othis;1400400;0
01/01/2017;77;77Ozoir-la-FerriÃ¨re;6710900;0
01/01/2017;77;77Ozouer-le-Voulgis;858600;0
01/01/2017;77;77Paley;717000;0
01/01/2017;77;77Penchard;1231000;0
01/01/2017;77;77Perthes;430000;0
01/01/2017;77;77Poigny;441452;0
01/01/2017;77;77Poligny;256000;0
01/01/2017;77;77Pommeuse;1138000;0
01/01/2017;77;77Pomponne;1060000;0
01/01/2017;77;77Pontault-Combault;9413227;0
01/01/2017;77;77PontcarrÃ©;115000;0
01/01/2017;77;77Pringy;692500;0
01/01/2017;77;77Provins;893000;0
01/01/2017;77;77Puisieux;423640;0
01/01/2017;77;77PÃ©cy;841000;0
01/01/2017;77;77PÃ©zarches;190000;0
01/01/2017;77;77Quincy-Voisins;319000;0
01/01/2017;77;77Rebais;711000;0
01/01/2017;77;77Recloses;360000;0
01/01/2017;77;77Roissy-en-Brie;2268000;0
01/01/2017;77;77Rouilly;521000;0
01/01/2017;77;77Rozay-en-Brie;2063600;0
01/01/2017;77;77RÃ©au;198500;0
01/01/2017;77;77SablonniÃ¨res;60000;0
01/01/2017;77;77Saint-Augustin;614000;0
01/01/2017;77;77Saint-Brice;140000;0
01/01/2017;77;77Saint-Cyr-sur-Morin;409500;0
01/01/2017;77;77Saint-Fargeau-Ponthierry;4874150;0
01/01/2017;77;77Saint-Germain-Laval;359000;0
01/01/2017;77;77Saint-Germain-sur-Morin;740900;0
01/01/2017;77;77Saint-Hilliers;69000;0
01/01/2017;77;77Saint-Loup-de-Naud;770000;0
01/01/2017;77;77Saint-MammÃ¨s;195000;0
01/01/2017;77;77Saint-Mars-Vieux-Maisons;540000;0
01/01/2017;77;77Saint-Martin-en-BiÃ¨re;258000;0
01/01/2017;77;77Saint-Mesmes;270000;0
01/01/2017;77;77Saint-MÃ©ry;142000;0
01/01/2017;77;77Saint-Pathus;4017600;0
01/01/2017;77;77Saint-Pierre-lÃ¨s-Nemours;665000;0
01/01/2017;77;77Saint-RÃ©my-la-Vanne;1163650;0
01/01/2017;77;77Saint-Sauveur-sur-Ã‰cole;662000;0
01/01/2017;77;77Saint-Soupplets;796000;0
01/01/2017;77;77Saint-Thibault-des-Vignes;2449600;0
01/01/2017;77;77Sainte-Colombe;160000;0
01/01/2017;77;77Sammeron;115000;0
01/01/2017;77;77Samois-sur-Seine;1075000;0
01/01/2017;77;77Samoreau;638000;0
01/01/2017;77;77Sancy;470000;0
01/01/2017;77;77Sancy-lÃ¨s-Provins;71000;0
01/01/2017;77;77Savigny-le-Temple;4994900.9;0
01/01/2017;77;77SaÃ¢cy-sur-Marne;210000;0
01/01/2017;77;77Seine-Port;863500;0
01/01/2017;77;77Sept-Sorts;170000;0
01/01/2017;77;77Serris;2737000;0
01/01/2017;77;77Servon;1232000;0
01/01/2017;77;77Sivry-Courtry;518000;0
01/01/2017;77;77Soignolles-en-Brie;567300;0
01/01/2017;77;77Solers;235000;0
01/01/2017;77;77Souppes-sur-Loing;1342400;0
01/01/2017;77;77Thieux;155000;0
01/01/2017;77;77Thomery;930700;0
01/01/2017;77;77Thorigny-sur-Marne;1402200;0
01/01/2017;77;77Tigeaux;480000;0
01/01/2017;77;77Torcy;4850160;0
01/01/2017;77;77Touquin;458000;0
01/01/2017;77;77Tournan-en-Brie;3011000;0
01/01/2017;77;77Trilport;1606500;0
01/01/2017;77;77Ury;394000;0
01/01/2017;77;77Ussy-sur-Marne;324000;0
01/01/2017;77;77Vaires-sur-Marne;2394519.1;0
01/01/2017;77;77Varennes-sur-Seine;476000;0
01/01/2017;77;77Vaudoy-en-Brie;172250;0
01/01/2017;77;77Vaux-le-PÃ©nil;2450800;0
01/01/2017;77;77Vendrest;77000;0
01/01/2017;77;77Verneuil-l'Ã‰tang;162000;0
01/01/2017;77;77Vernou-la-Celle-sur-Seine;691000;0
01/01/2017;77;77Vert-Saint-Denis;3277680;0
01/01/2017;77;77Ville-Saint-Jacques;92500;0
01/01/2017;77;77Villecerf;503500;0
01/01/2017;77;77Villemareuil;140000;0
01/01/2017;77;77VillemarÃ©chal;992500;0
01/01/2017;77;77Villeneuve-le-Comte;440000;0
01/01/2017;77;77Villeneuve-sur-Bellot;175000;0
01/01/2017;77;77Villenoy;307000;0
01/01/2017;77;77Villeparisis;4467020;0
01/01/2017;77;77Villeroy;688000;0
01/01/2017;77;77VillevaudÃ©;2477000;0
01/01/2017;77;77Villiers-Saint-Georges;210000;0
01/01/2017;77;77Villiers-sous-Grez;676000;0
01/01/2017;77;77Villiers-sur-Morin;330000;0
01/01/2017;77;77Vimpelles;160000;0
01/01/2017;77;77Vinantes;495600;0
01/01/2017;77;77Vincy-ManÅ“uvre;450000;0
01/01/2017;77;77Voinsles;845000;0
01/01/2017;77;77Voisenon;576000;0
01/01/2017;77;77Voulangis;117500;0
01/01/2017;77;77Voulx;308000;0
01/01/2017;77;77Vulaines-sur-Seine;395000;0
01/01/2017;77;77YÃ¨bles;275450;0
01/01/2017;77;77Ã‰chouboulains;140000;0
01/01/2017;77;77Ã‰greville;1224000;0
01/01/2017;77;77Ã‰merainville;1011000;0
01/01/2017;77;77Ã‰trÃ©pilly;446000;0
01/01/2017;77;77Ã‰vry-GrÃ©gy-sur-Yerre;1792200;0
01/01/2017;78;78Ablis;292450;0
01/01/2017;78;78AchÃ¨res;3780073;0
01/01/2017;78;78Adainville;495200;0
01/01/2017;78;78Aigremont;2113810;0
01/01/2017;78;78AndrÃ©sy;4582100;0
01/01/2017;78;78Arnouville-lÃ¨s-Mantes;280000;0
01/01/2017;78;78Aubergenville;1489100;0
01/01/2017;78;78Auffargis;540000;0
01/01/2017;78;78Auffreville-Brasseuil;1045200;0
01/01/2017;78;78Auteuil;235000;0
01/01/2017;78;78Bailly;1956300;0
01/01/2017;78;78Bazainville;1890000;0
01/01/2017;78;78Bazemont;1110040;0
01/01/2017;78;78Beynes;1869200;0
01/01/2017;78;78Bois-d'Arcy;3474266.12;0
01/01/2017;78;78Boissy-Mauvoisin;977295;0
01/01/2017;78;78BonniÃ¨res-sur-Seine;1311400;0
01/01/2017;78;78Bougival;7965885;0
01/01/2017;78;78Buc;5780730;0
01/01/2017;78;78BÃ©houst;752000;0
01/01/2017;78;78CarriÃ¨res-sous-Poissy;3736940;0
01/01/2017;78;78CarriÃ¨res-sur-Seine;4307609;0
01/01/2017;78;78Cernay-la-Ville;109868;0
01/01/2017;78;78Chambourcy;1529695;0
01/01/2017;78;78Chanteloup-les-Vignes;989800;0
01/01/2017;78;78Chapet;719250;0
01/01/2017;78;78Chatou;9269165;0
01/01/2017;78;78Chaufour-lÃ¨s-BonniÃ¨res;765870;0
01/01/2017;78;78Chevreuse;5309500;0
01/01/2017;78;78ChÃ¢teaufort;974750;0
01/01/2017;78;78Civry-la-ForÃªt;535200;0
01/01/2017;78;78CoigniÃ¨res;874550;0
01/01/2017;78;78CondÃ©-sur-Vesgre;299630;0
01/01/2017;78;78Conflans-Sainte-Honorine;11938150;0
01/01/2017;78;78Croissy-sur-Seine;5790500;0
01/01/2017;78;78Dampierre-en-Yvelines;687000;0
01/01/2017;78;78Davron;200000;0
01/01/2017;78;78Drocourt;936594;0
01/01/2017;78;78Flins-Neuve-Ã‰glise;314000;0
01/01/2017;78;78Fontenay-Saint-PÃ¨re;1626700;0
01/01/2017;78;78Fontenay-le-Fleury;2515620.3;0
01/01/2017;78;78Freneuse;536000;0
01/01/2017;78;78Galluis;1200210;0
01/01/2017;78;78Gambais;420000;0
01/01/2017;78;78GaranciÃ¨res;1198000;0
01/01/2017;78;78Gargenville;1185000;0
01/01/2017;78;78Gazeran;926020;0
01/01/2017;78;78GoupilliÃ¨res;1270000;0
01/01/2017;78;78Goussonville;246800;0
01/01/2017;78;78Grosrouvre;3457540;0
01/01/2017;78;78Guernes;430000;0
01/01/2017;78;78Guerville;410000;0
01/01/2017;78;78Guyancourt;6246840.62;0
01/01/2017;78;78Hardricourt;2482000;0
01/01/2017;78;78Hargeville;802000;0
01/01/2017;78;78Houdan;1942197;0
01/01/2017;78;78Houilles;10881251.53;0
01/01/2017;78;78Issou;862700;0
01/01/2017;78;78Jouars-Pontchartrain;1459900;0
01/01/2017;78;78Jouy-en-Josas;715500;0
01/01/2017;78;78Juziers;1142778;0
01/01/2017;78;78L'Ã‰tang-la-Ville;3270400;0
01/01/2017;78;78La BoissiÃ¨re-Ã‰cole;518500;0
01/01/2017;78;78La Celle-Saint-Cloud;3539750;0
01/01/2017;78;78La Celle-les-Bordes;196000;0
01/01/2017;78;78La Falaise;700750;0
01/01/2017;78;78La Queue-les-Yvelines;419300;0
01/01/2017;78;78La VerriÃ¨re;344800;0
01/01/2017;78;78La Villeneuve-en-Chevrie;124000;0
01/01/2017;78;78Lainville-en-Vexin;343000;0
01/01/2017;78;78Le Chesnay-Rocquencourt;8983280;0
01/01/2017;78;78Le Mesnil-Saint-Denis;1460700;0
01/01/2017;78;78Le Mesnil-le-Roi;3502330;0
01/01/2017;78;78Le Pecq;5750880;0
01/01/2017;78;78Le Perray-en-Yvelines;1681100;0
01/01/2017;78;78Le Port-Marly;637250;0
01/01/2017;78;78Le Tremblay-sur-Mauldre;343700;0
01/01/2017;78;78Le VÃ©sinet;11381272.15;0
01/01/2017;78;78Les Alluets-le-Roi;1775866;0
01/01/2017;78;78Les BrÃ©viaires;846000;0
01/01/2017;78;78Les Clayes-sous-Bois;3542736;0
01/01/2017;78;78Les Essarts-le-Roi;10108037;0
01/01/2017;78;78Les Loges-en-Josas;453000;0
01/01/2017;78;78Les Mesnuls;685010;0
01/01/2017;78;78Les Mureaux;2620908;0
01/01/2017;78;78Limay;1441000;0
01/01/2017;78;78Limetz-Villez;494000;0
01/01/2017;78;78Longnes;273000;0
01/01/2017;78;78Louveciennes;6676685;0
01/01/2017;78;78LÃ©vis-Saint-Nom;1939600;0
01/01/2017;78;78Magnanville;226000;0
01/01/2017;78;78Magny-les-Hameaux;572080;0
01/01/2017;78;78Maisons-Laffitte;13824510;0
01/01/2017;78;78Mantes-la-Jolie;5658500;0
01/01/2017;78;78Mantes-la-Ville;3477700;0
01/01/2017;78;78Mareil-Marly;3708660;0
01/01/2017;78;78Mareil-sur-Mauldre;375200;0
01/01/2017;78;78Marly-le-Roi;7587869.6;0
01/01/2017;78;78Maule;1770000;0
01/01/2017;78;78Maurecourt;1364400;0
01/01/2017;78;78Maurepas;1961300;0
01/01/2017;78;78Meulan-en-Yvelines;2089950;0
01/01/2017;78;78Moisson;1642308;0
01/01/2017;78;78Montainville;1800000;0
01/01/2017;78;78Montalet-le-Bois;629530;0
01/01/2017;78;78Montesson;4863843.9;0
01/01/2017;78;78Montfort-l'Amaury;426950;0
01/01/2017;78;78Montigny-le-Bretonneux;6318345;0
01/01/2017;78;78Morainvilliers;5140310;0
01/01/2017;78;78Mousseaux-sur-Seine;235000;0
01/01/2017;78;78MÃ©dan;1370000;0
01/01/2017;78;78MÃ©rÃ©;1529620;0
01/01/2017;78;78MÃ©ziÃ¨res-sur-Seine;664000;0
01/01/2017;78;78Neauphle-le-ChÃ¢teau;1746200;0
01/01/2017;78;78Neauphle-le-Vieux;398000;0
01/01/2017;78;78Noisy-le-Roi;2108500;0
01/01/2017;78;78Notre-Dame-de-la-Mer;274000;0
01/01/2017;78;78NÃ©zel;245000;0
01/01/2017;78;78Oinville-sur-Montcient;1180000;0
01/01/2017;78;78Orcemont;370900;0
01/01/2017;78;78Orgerus;619600;0
01/01/2017;78;78Orgeval;5773034;0
01/01/2017;78;78Orphin;330000;0
01/01/2017;78;78Plaisir;8530103;0
01/01/2017;78;78Poissy;11838152;0
01/01/2017;78;78PonthÃ©vrard;134000;0
01/01/2017;78;78Porcheville;621200;0
01/01/2017;78;78Prunay-en-Yvelines;782000;0
01/01/2017;78;78Raizeux;220000;0
01/01/2017;78;78Rambouillet;8285940;0
01/01/2017;78;78Rennemoulin;253750;0
01/01/2017;78;78Richebourg;389800;0
01/01/2017;78;78Rochefort-en-Yvelines;236000;0
01/01/2017;78;78Rosay;229000;0
01/01/2017;78;78Rosny-sur-Seine;1543000;0
01/01/2017;78;78Saint-Arnoult-en-Yvelines;2079575;0
01/01/2017;78;78Saint-Cyr-l'Ã‰cole;5547965;0
01/01/2017;78;78Saint-Forget;903000;0
01/01/2017;78;78Saint-Germain-en-Laye;18917387;0
01/01/2017;78;78Saint-Hilarion;120000;0
01/01/2017;78;78Saint-Lambert;428000;0
01/01/2017;78;78Saint-LÃ©ger-en-Yvelines;241600;0
01/01/2017;78;78Saint-Martin-de-BrÃ©thencourt;245250;0
01/01/2017;78;78Saint-Martin-des-Champs;290000;0
01/01/2017;78;78Saint-Martin-la-Garenne;980000;0
01/01/2017;78;78Saint-Nom-la-BretÃ¨che;1633530;0
01/01/2017;78;78Saint-RÃ©my-l'HonorÃ©;747200;0
01/01/2017;78;78Saint-RÃ©my-lÃ¨s-Chevreuse;1785000;0
01/01/2017;78;78Sainte-Mesme;414000;0
01/01/2017;78;78Sartrouville;18560314;0
01/01/2017;78;78Septeuil;573000;0
01/01/2017;78;78Sonchamp;1309850;0
01/01/2017;78;78TacoigniÃ¨res;1101000;0
01/01/2017;78;78Tessancourt-sur-Aubette;418000;0
01/01/2017;78;78Thiverval-Grignon;209620;0
01/01/2017;78;78Thoiry;666000;0
01/01/2017;78;78Tilly;450000;0
01/01/2017;78;78Trappes;3693439;0
01/01/2017;78;78Triel-sur-Seine;5440077;0
01/01/2017;78;78Vaux-sur-Seine;1109000;0
01/01/2017;78;78Verneuil-sur-Seine;2950950;0
01/01/2017;78;78Vernouillet;4514266;0
01/01/2017;78;78Versailles;34584886;0
01/01/2017;78;78Vert;232000;0
01/01/2017;78;78Vieille-Ã‰glise-en-Yvelines;151450;0
01/01/2017;78;78Villennes-sur-Seine;13893530;0
01/01/2017;78;78Villepreux;4431240;0
01/01/2017;78;78Villiers-le-Mahieu;681880;0
01/01/2017;78;78Viroflay;7094888.5;0
01/01/2017;78;78Voisins-le-Bretonneux;3404750;0
01/01/2017;78;78VÃ©lizy-Villacoublay;6187509;0
01/01/2017;78;78Ã‰lancourt;8104901;0
01/01/2017;78;78Ã‰mancÃ©;97000;0
01/01/2017;78;78Ã‰pÃ´ne;1490000;0
01/01/2017;78;78Ã‰vecquemont;995400;0
01/01/2017;91;91Angervilliers;770000;0
01/01/2017;91;91Arpajon;815500;0
01/01/2017;91;91Athis-Mons;18540773;0
01/01/2017;91;91Auvernaux;248000;0
01/01/2017;91;91Auvers-Saint-Georges;1117000;0
01/01/2017;91;91Avrainville;235000;0
01/01/2017;91;91Ballainvilliers;335000;0
01/01/2017;91;91Ballancourt-sur-Essonne;2510907.5;0
01/01/2017;91;91Baulne;618000;0
01/01/2017;91;91BiÃ¨vres;3196000;0
01/01/2017;91;91Boigneville;125000;0
01/01/2017;91;91Bois-Herpin;402000;0
01/01/2017;91;91Boissy-la-RiviÃ¨re;170000;0
01/01/2017;91;91Boissy-le-CuttÃ©;85550;0
01/01/2017;91;91Boissy-sous-Saint-Yon;273000;0
01/01/2017;91;91Bondoufle;5716510;0
01/01/2017;91;91Bouray-sur-Juine;802500;0
01/01/2017;91;91Boussy-Saint-Antoine;990500;0
01/01/2017;91;91Boutervilliers;610000;0
01/01/2017;91;91Boutigny-sur-Essonne;1567500;0
01/01/2017;91;91Breuillet;1220400;0
01/01/2017;91;91Breux-Jouy;229000;0
01/01/2017;91;91Briis-sous-Forges;859250;0
01/01/2017;91;91Brunoy;4803548;0
01/01/2017;91;91BruyÃ¨res-le-ChÃ¢tel;380340;0
01/01/2017;91;91BrÃ©tigny-sur-Orge;8112028;0
01/01/2017;91;91Bures-sur-Yvette;3254050;0
01/01/2017;91;91Cerny;943000;0
01/01/2017;91;91Chalo-Saint-Mars;373000;0
01/01/2017;91;91Chamarande;407000;0
01/01/2017;91;91Champcueil;264000;0
01/01/2017;91;91Champlan;260000;0
01/01/2017;91;91Champmotteux;610000;0
01/01/2017;91;91Cheptainville;1390251;0
01/01/2017;91;91Chevannes;480000;0
01/01/2017;91;91Chilly-Mazarin;4052450;0
01/01/2017;91;91Corbeil-Essonnes;17132356;0
01/01/2017;91;91Corbreuse;435500;0
01/01/2017;91;91Courdimanche-sur-Essonne;544000;0
01/01/2017;91;91Crosne;1149800;0
01/01/2017;91;91Dourdan;870200;0
01/01/2017;91;91Draveil;7527260;0
01/01/2017;91;91Fleury-MÃ©rogis;1115685;0
